cohort,model,prior_wave,landmark_wave,prior_year,landmark_year,outcome_year,history_horizon_years,prediction_horizon_years,primary_horizon,interval_class,evaluation_weighting,persons,records,events,event_rate,mean_prediction,auc,brier,calibration_intercept,calibration_slope
ELSA,M1,2,3,2004,2006,2008,2,2,TRUE,primary_2to3_year,respondent_weighted,3089,3064,351,0.115127722553468,0.0688664155077665,0.746430772510981,0.0951184254857795,0.605600229703954,1.16057681122788
ELSA,M1,1,2,2002,2004,2006,2,2,TRUE,primary_2to3_year,respondent_weighted,3281,3274,329,0.103766038802746,0.0837187898637255,0.728372184685038,0.0865960822706752,0.254555191093234,1.01157009453222
MHAS,M0,4,5,2015,2018,2021,3,3,TRUE,primary_2to3_year,respondent_weighted,3968,3968,665,0.153364035632502,0.123279374720579,0.608240468245189,0.127928937886786,0.256210884871175,1.41064180729908
MHAS,M0,2,3,2003,2012,2015,9,3,FALSE,extended_long_history_interval,respondent_weighted,3680,3427,655,0.203948752321232,0.135095964413842,0.626078928785587,0.162911378202874,0.501253917096438,1.56187684436467
MHAS,M0,3,4,2012,2015,2018,3,3,TRUE,primary_2to3_year,respondent_weighted,3829,3776,504,0.151199880087566,0.126215140362402,0.594902865450155,0.126300464230806,0.212175803942088,1.24871026780177
MHAS,M0,1,2,2001,2003,2012,2,9,FALSE,extended_long_prediction_interval,respondent_weighted,2318,2317,576,0.255825549060521,0.120381112031433,0.637647261377473,0.202951198882286,0.932316346929498,1.97223618263547
MHAS,M1,4,5,2015,2018,2021,3,3,TRUE,primary_2to3_year,respondent_weighted,3968,3968,665,0.153364035632502,0.242464663362802,0.688720676332456,0.134007233895019,-0.644252218050707,0.754821231775844
MHAS,M1,2,3,2003,2012,2015,9,3,FALSE,extended_long_history_interval,respondent_weighted,3680,3427,655,0.203948752321232,0.285053989062098,0.704852154827462,0.156942902350862,-0.50653040869064,0.866792516768753
MHAS,M1,3,4,2012,2015,2018,3,3,TRUE,primary_2to3_year,respondent_weighted,3829,3776,504,0.151199880087566,0.253583111219068,0.654429241624002,0.138395110952118,-0.730897453353939,0.679423419152486
MHAS,M1,1,2,2001,2003,2012,2,9,FALSE,extended_long_prediction_interval,respondent_weighted,2318,2317,576,0.255825549060521,0.943816923618525,0.704054834318336,0.655631059104668,-1854274733168.09,1963125806014.5
